id,Country,Continent,fhs,gov,Capital,pnr,Topography,Climate,le,imr,pcod,GDPPC,cer,bmi,gdpg,ii,cpi,hioef,lr,Religions,Languages,Population
Swaziland,Swaziland,Africa,16/100 (2018),Absolute Monarchy,Mbabane(administrative capital) Lobamba (royal and legislative capital,"asbestos, coal, clay, casserite, hydropower, forests, small gold and diamond deposits, quarry stone, and talc",mostly mountains and hills; some moderately sloping plains,varies from tropical to near temperate,52.1 years (2017),48.8/1000 live births (2017),"1- HIV/AIDS, 2- Stroke, 3- Influenza and Pneumonia, 4- Tuberculosis, 5- Diabetes Mellitus (2017)","$9,900 2017 EST.",11.83 Emalangeni to 1 U.S. Dollar (March 2018),No Data, -0.9% (2017),51.5% (2010),Not avaliable ,55.9 overall (2018),87.5% (2015),"Christian 90% (Zionist - a blend of Christianity and indigenous ancestral worship - 40%, Roman Catholic 20%, other 30% - includes Anglican, Methodist, Mormon, Jehovah's Witness), Muslim 2%, other 8% (includes Baha'i, Buddhist, Hindu, indigenous religionist, Jewish) (2015 est.)","English (official, used for government business), siSwati (official)","1,467,152 (July 2017)"
Lesotho,Lesotho,Africa,64/100 (2018),parliamentary constitutional monarchy,Maseru,"water, agricultural and grazing land, diamonds, sand, clay, building stone
","mostly highland with plateaus, hills, and mountains
","temperate; cool to cold, dry winters; hot, wet summers
","53 years (2017)
","46.1 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Influenza and Pneumonia, 4- Diabetes Mellitus, 5- Coronary Heart Disease (2017)"," $3,900 2017 EST.",11.82 Maolit to 1 U.S. Dollar (March 2018),No Data,3.1% (2017),54.2% (2015),39 and 83rd/ 176 (2016),53.9 overall (2018),79.4% (2015),"Christian 80%, indigenous beliefs 20%","Sesotho (official) (southern Sotho), English (official), Zulu, Xhosa","1,958,042 (July 2017) "
South_Africa,South_Africa,Africa,78/100 (2018),"parliamentary republic
",Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital),"gold, chromium, antimony, coal, iron ore, manganese, nickel, phosphates, tin, rare earth elements, uranium, gem diamonds, platinum, copper, vanadium, salt, natural gas
","vast interior plateau rimmed by rugged hills and narrow coastal plain
","mostly semiarid; subtropical along east coast; sunny days, cool nights
",63.8 years (2017),"31 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Diabetes Mellitus, 4- Coronary Heart Disease, 5- Influenza and Pneumonia (2017)","$13,400 2017 EST.",11.91 Rand to 1 U.S. Dollar (March 2018),$2.45 vs $5.28 US,1.1% (2017),63.4% (2011),45 and 64th/176 (2016),63.0 overall (2018),94.4% (2015),"Protestant 36.6% (Zionist Christian 11.1%, Pentecostal/Charismatic 8.2%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%), Catholic 7.1%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001)","isiZulu (official) 22.7%, isiXhosa (official) 16%, Afrikaans (official) 13.5%, English (official) 9.6%, Sepedi (official) 9.1%, Setswana (official) 8%, Sesotho (official) 7.6%, Xitsonga (official) 4.5%, siSwati (official) 2.5%, Tshivenda (official) 2.4%, isiNdebele (official) 2.1%, sign language 0.5%, other 1.6% (2011)","54,841,552  (July 2017)"
Namibia,Namibia,Africa,77/100 (2018),"presidential republic
",Windhoek,"diamonds, copper, uranium, gold, silver, lead, tin, lithium, cadmium, tungsten, zinc, salt, hydropower, fish note: suspected deposits of oil, coal, and iron ore
",mostly high plateau; Namib Desert along coast; Kalahari Desert in east,"desert; hot, dry; rainfall sparse and erratic",64 years (2017),"35.1 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Coronary Heart Disease, 4- Influenza and Pneumonia, 5- Diabetes Mellitus (2017)","$11,500 2017 EST.",11.88 Namibian Dollars to 1 U.S. Dollar (March 2018),No Data,2.5% (2017),61.3% (2010),52 and 53rd/176 (2016),58.5 overall (2018),81.9% (2015),"Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20%","Oshivambo languages 48.9%, Nama/Damara 11.3%, Afrikaans 10.4% (common language of most of the population and about 60% of the white population), Otjiherero languages 8.6%, Kavango languages 8.5%, Caprivi languages 4.8%, English (official) 3.4%, other African languages 2.3%, other 1.7%. note: Namibia has 13 recognized national languages, including 10 indigenous African languages and 3 Indo-European languages (2011 est)","2,484,780 (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Botswana,Botswana,Africa,72/100 (2018),parliamentary republic,Gaborone,"diamonds, copper, nickel, salt, soda ash, potash, coal, iron ore, silver",predominantly flat to gently rolling tableland; Kalahari Desert in southwest,semiarid; warm winters and hot summers,63.3 years (2017),"29.6 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Coronary Heart Disease, 4- Diabetes Mellitus, 5- Hypertension (2017)","$18,100 2017 EST.",9.58 Pulas to 1 U.S. Dollar (March 2018),No Data,4.8% (2017),60.5% (2009),60 and 35th/176 (2016),69.9 overall (2018),88.5%  (2015),"Christian 79.1%, Badimo 4.1%, other 1.4% (includes Baha'i, Hindu, Muslim, Rastafarian), none 15.2%, unspecified 0.3% (2011)","Setswana 77.3%, Sekalanga 7.4%, Shekgalagadi 3.4%, English (official) 2.8%, Zezuru/Shona 2%, Sesarwa 1.7%, Sembukushu 1.6%, Ndebele 1%, other 2.8% (2011)","2,214,858 (July 2017)"
Madagascar,Madagascar,Africa,56/100 (2018),semi-presidential republic,Antananarivo,"graphite, chromite, coal, bauxite, rare earth elements, salt, quartz, tar sands, semiprecious stones, mica, fish, hydropower","narrow coastal plain, high plateau and mountains in center","tropical along coast, temperate inland, arid in south",66.3 years (2017),"41.2 deaths/1,000 live births (2017)","1- Stroke, 2- Coronary Heart Disease, 3- Influenza and Pneumonia, 4- Tuberculosis, 5- Diarrhoeal diseases (2017)","$1,600 2017 EST.","3,120 Malagasy Ariary to 1 U.S. Dollar (March 2018)",No Data,5.3% (2017),40.6% (2010),26 and 145th/176 (2016),56.8 overall (2018),64.7% (2015),"Christian, indigenous religionist, Muslim","French (official), Malagasy (official), English","25,054,161 (July 2017)"
Mozambique,Mozambique,Africa,52/100 (2018),presidential republic,Maputo,"coal, titanium, natural gas, hydropower, tantalum, graphite","mostly coastal lowlands, uplands in center, high plateaus in northwest, mountains in west",tropical to subtropical,53.7 years (2017),"65.9 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Stroke, 4- Tuberculosis, 5- Diarhoeal diseases (2017)","$1,300 2017 EST.",62.20 Meticais to 1 U.S. Dollar (March 2018),No Data,5.3% (2017),45.6% (2008),27 and 142nd/176 (2016,46.3 overall (2018),58.8% (2015),"Roman Catholic 28.4%, Muslim 17.9%, Zionist Christian 15.5%, Protestant 12.2% (includes Pentecostal 10.9% and Anglican 1.3%), other 6.7%, none 18.7%, unspecified 0.7% (2007 est.)","Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 0.3%, unspecified 3.7% (2007 est.)","26,573,706 (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Zimbabwe,Zimbabwe,Africa,30/100 (2018),semi-presidential republic,Harare,"coal, chromium ore, asbestos, gold, nickel, copper, iron ore, vanadium, lithium, tin, platinum group metals",mostly high plateau with higher central plateau (high veld); mountains in east,tropical; moderated by altitude; rainy season (November to March),60.4 years (2017),"32.7 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Influenza and Pneumonia, 3- Prostate Cancer, 4- Stroke, 5- Cervical Cancer (2017)","$2,300 2017 EST.","30,000 Zimbabwean Dollars to 1 U.S. Dollar (March 2018). *note: the U.S. dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless",No Data,0.8% (2017),43.2% (2011),22 and 154th/ 176 (2016),44.0 overall (2018),86.5% (2015),"Protestant 74.8% (includes Apostolic 37.5%, Pentecostal 21.8%, other 15.5%), Roman Catholic 7.3%, other Christian 5.3%, traditional 1.5%, Muslim 0.5%, other 0.1%, none 10.5% (2015 est.)","Shona (official; most widely spoken), Ndebele (official, second most widely spoken), English (official; traditionally used for official business), 13 minority languages (official; includes Chewa, Chibarwe, Kalanga, Koisan, Nambya, Ndau, Shangani, sign language, Sotho, Tonga, Tswana, Venda, and Xhosa)","13,805,084 (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Malawi,Malawi,Africa,63/100 (2018),presidential republic,Lilongwe,"limestone, arable land, hydropower, unexploited deposits of uranium, coal, and bauxite","narrow elongated plateau with rolling plains, rounded hills, some mountains",sub-tropical; rainy season (November to May); dry season (May to November),61.7 years (2017),"43.4 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Influenza and Pneumonia, 4- Coronary Heart Disease, 5- Diarrhoeal diseases (2017)","$1,200 2017 EST.",725.28 Malawian Kwachas to 1 U.S. Dollar (March 2018),No Data,5% (2017),46.1% (2010),31 and 120th/176 (2016),52.0 overall (2018),62.1% (2015),"Protestant 27.2% (includes Church of Central Africa Presbyterian 17.7%, Seventh Day Adventist/Baptist 6.9%, Anglican 2.6%), Catholic 18.4%, other Christian 41%, Muslim 12.1%, other 0.3%, none 1% (2015-16 est.)","English (official), Chichewa (common), Chinyanja, Chiyao, Chitumbuka, Chilomwe, Chinkhonde, Chingoni, Chisena, Chitonga, Chinyakyusa, Chilambya","19,196,246 (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
Zambia,Zambia,Africa,55/100 (2018),presidential republic,Lusaka; note - a proposal to build a new capital city in Ngabwe was announced in May 2017,"copper, cobalt, zinc, lead, coal, emeralds, gold, silver, uranium, hydropower",mostly high plateau with some hills and mountains,tropical; modified by altitude; rainy season (October to April),52.7 years (2017),"61.1 deaths/1,000 live births (2017)","1- HIV/AIDS, 2- Stroke, 3- Influenza and Pneumonia, 4- Coronary Heart Disease, 5- Malaria (2017)","$4,000 2017 EST.",9.57 Zambian Kwachas to 1 U.S. Dollar (March 2018),No Data,4.5% (2017),57.1% (2015),38 and 87th/176 (2016),54.3 overall (2018),63.4% (2015),"Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.)","Bembe 33.4%, Nyanja 14.7%, Tonga 11.4%, Lozi 5.5%, Chewa 4.5%, Nsenga 2.9%, Tumbuka 2.5%, Lunda (North Western) 1.9%, Kaonde 1.8%, Lala 1.8%, Lamba 1.8%, English (official) 1.7%, Luvale 1.5%, Mambwe 1.3%, Namwanga 1.2%, Lenje 1.1%, Bisa 1%, other 9.7%, unspecified 0.2%. Zambia is said to have over 70 languages, although many of these may be considered dialects; all of Zambia's major languages are members of the Bantu family (2010 est.)","15.972 million (July 2017) note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected"
