id,Country,Continent,fhs,gov,Capital,pnr,Topography,Climate,le,imr,pcod,GDPPC,cer,bmi,gdpg,ii,cpi,hioef,lr,Religions,Languages,Population,
id_name_0,Country_name_0,Continent_name_0,fhs_name_0,gov_name_0,Capital_name_0,pnr_name_0,Topography_name_0,Climate_name_0,le_name_0,imr_name_0,pcod_name_0,GDPPC_name_0,cer_name_0,bmi_name_0,gdpg_name_0,ii_name_0,cpi_name_0,hioef_name_0,lr_name_0,Religions_name_0,Languages_name_0,Population_name_0
id_name_1,Country_name_1,Continent_name_1,fhs_name_1,gov_name_1,Capital_name_1,pnr_name_1,Topography_name_1,Climate_name_1,le_name_1,imr_name_1,pcod_name_1,GDPPC_name_1,cer_name_1,bmi_name_1,gdpg_name_1,ii_name_1,cpi_name_1,hioef_name_1,lr_name_1,Religions_name_1,Languages_name_1,Population_name_1
id_name_2,Country_name_2,Continent_name_2,fhs_name_2,gov_name_2,Capital_name_2,pnr_name_2,Topography_name_2,Climate_name_2,le_name_2,imr_name_2,pcod_name_2,GDPPC_name_2,cer_name_2,bmi_name_2,gdpg_name_2,ii_name_2,cpi_name_2,hioef_name_2,lr_name_2,Religions_name_2,Languages_name_2,Population_name_2
id_name_3,Country_name_3,Continent_name_3,fhs_name_3,gov_name_3,Capital_name_3,pnr_name_3,Topography_name_3,Climate_name_3,le_name_3,imr_name_3,pcod_name_3,GDPPC_name_3,cer_name_3,bmi_name_3,gdpg_name_3,ii_name_3,cpi_name_3,hioef_name_3,lr_name_3,Religions_name_3,Languages_name_3,Population_name_3
id_name_4,Country_name_4,Continent_name_4,fhs_name_4,gov_name_4,Capital_name_4,pnr_name_4,Topography_name_4,Climate_name_4,le_name_4,imr_name_4,pcod_name_4,GDPPC_name_4,cer_name_4,bmi_name_4,gdpg_name_4,ii_name_4,cpi_name_4,hioef_name_4,lr_name_4,Religions_name_4,Languages_name_4,Population_name_4
id_name_5,Country_name_5,Continent_name_5,fhs_name_5,gov_name_5,Capital_name_5,pnr_name_5,Topography_name_5,Climate_name_5,le_name_5,imr_name_5,pcod_name_5,GDPPC_name_5,cer_name_5,bmi_name_5,gdpg_name_5,ii_name_5,cpi_name_5,hioef_name_5,lr_name_5,Religions_name_5,Languages_name_5,Population_name_5
id_name_6,Country_name_6,Continent_name_6,fhs_name_6,gov_name_6,Capital_name_6,pnr_name_6,Topography_name_6,Climate_name_6,le_name_6,imr_name_6,pcod_name_6,GDPPC_name_6,cer_name_6,bmi_name_6,gdpg_name_6,ii_name_6,cpi_name_6,hioef_name_6,lr_name_6,Religions_name_6,Languages_name_6,Population_name_6
id_name_7,Country_name_7,Continent_name_7,fhs_name_7,gov_name_7,Capital_name_7,pnr_name_7,Topography_name_7,Climate_name_7,le_name_7,imr_name_7,pcod_name_7,GDPPC_name_7,cer_name_7,bmi_name_7,gdpg_name_7,ii_name_7,cpi_name_7,hioef_name_7,lr_name_7,Religions_name_7,Languages_name_7,Population_name_7
id_name_8,Country_name_8,Continent_name_8,fhs_name_8,gov_name_8,Capital_name_8,pnr_name_8,Topography_name_8,Climate_name_8,le_name_8,imr_name_8,pcod_name_8,GDPPC_name_8,cer_name_8,bmi_name_8,gdpg_name_8,ii_name_8,cpi_name_8,hioef_name_8,lr_name_8,Religions_name_8,Languages_name_8,Population_name_8
id_name_9,Country_name_9,Continent_name_9,fhs_name_9,gov_name_9,Capital_name_9,pnr_name_9,Topography_name_9,Climate_name_9,le_name_9,imr_name_9,pcod_name_9,GDPPC_name_9,cer_name_9,bmi_name_9,gdpg_name_9,ii_name_9,cpi_name_9,hioef_name_9,lr_name_9,Religions_name_9,Languages_name_9,Population_name_9
id_name_10,Country_name_10,Continent_name_10,fhs_name_10,gov_name_10,Capital_name_10,pnr_name_10,Topography_name_10,Climate_name_10,le_name_10,imr_name_10,pcod_name_10,GDPPC_name_10,cer_name_10,bmi_name_10,gdpg_name_10,ii_name_10,cpi_name_10,hioef_name_10,lr_name_10,Religions_name_10,Languages_name_10,Population_name_10
id_name_11,Country_name_11,Continent_name_11,fhs_name_11,gov_name_11,Capital_name_11,pnr_name_11,Topography_name_11,Climate_name_11,le_name_11,imr_name_11,pcod_name_11,GDPPC_name_11,cer_name_11,bmi_name_11,gdpg_name_11,ii_name_11,cpi_name_11,hioef_name_11,lr_name_11,Religions_name_11,Languages_name_11,Population_name_11
id_name_12,Country_name_12,Continent_name_12,fhs_name_12,gov_name_12,Capital_name_12,pnr_name_12,Topography_name_12,Climate_name_12,le_name_12,imr_name_12,pcod_name_12,GDPPC_name_12,cer_name_12,bmi_name_12,gdpg_name_12,ii_name_12,cpi_name_12,hioef_name_12,lr_name_12,Religions_name_12,Languages_name_12,Population_name_12
id_name_13,Country_name_13,Continent_name_13,fhs_name_13,gov_name_13,Capital_name_13,pnr_name_13,Topography_name_13,Climate_name_13,le_name_13,imr_name_13,pcod_name_13,GDPPC_name_13,cer_name_13,bmi_name_13,gdpg_name_13,ii_name_13,cpi_name_13,hioef_name_13,lr_name_13,Religions_name_13,Languages_name_13,Population_name_13
id_name_14,Country_name_14,Continent_name_14,fhs_name_14,gov_name_14,Capital_name_14,pnr_name_14,Topography_name_14,Climate_name_14,le_name_14,imr_name_14,pcod_name_14,GDPPC_name_14,cer_name_14,bmi_name_14,gdpg_name_14,ii_name_14,cpi_name_14,hioef_name_14,lr_name_14,Religions_name_14,Languages_name_14,Population_name_14
id_name_15,Country_name_15,Continent_name_15,fhs_name_15,gov_name_15,Capital_name_15,pnr_name_15,Topography_name_15,Climate_name_15,le_name_15,imr_name_15,pcod_name_15,GDPPC_name_15,cer_name_15,bmi_name_15,gdpg_name_15,ii_name_15,cpi_name_15,hioef_name_15,lr_name_15,Religions_name_15,Languages_name_15,Population_name_15
id_name_16,Country_name_16,Continent_name_16,fhs_name_16,gov_name_16,Capital_name_16,pnr_name_16,Topography_name_16,Climate_name_16,le_name_16,imr_name_16,pcod_name_16,GDPPC_name_16,cer_name_16,bmi_name_16,gdpg_name_16,ii_name_16,cpi_name_16,hioef_name_16,lr_name_16,Religions_name_16,Languages_name_16,Population_name_16
id_name_17,Country_name_17,Continent_name_17,fhs_name_17,gov_name_17,Capital_name_17,pnr_name_17,Topography_name_17,Climate_name_17,le_name_17,imr_name_17,pcod_name_17,GDPPC_name_17,cer_name_17,bmi_name_17,gdpg_name_17,ii_name_17,cpi_name_17,hioef_name_17,lr_name_17,Religions_name_17,Languages_name_17,Population_name_17
id_name_18,Country_name_18,Continent_name_18,fhs_name_18,gov_name_18,Capital_name_18,pnr_name_18,Topography_name_18,Climate_name_18,le_name_18,imr_name_18,pcod_name_18,GDPPC_name_18,cer_name_18,bmi_name_18,gdpg_name_18,ii_name_18,cpi_name_18,hioef_name_18,lr_name_18,Religions_name_18,Languages_name_18,Population_name_18
id_name_19,Country_name_19,Continent_name_19,fhs_name_19,gov_name_19,Capital_name_19,pnr_name_19,Topography_name_19,Climate_name_19,le_name_19,imr_name_19,pcod_name_19,GDPPC_name_19,cer_name_19,bmi_name_19,gdpg_name_19,ii_name_19,cpi_name_19,hioef_name_19,lr_name_19,Religions_name_19,Languages_name_19,Population_name_19
id_name_20,Country_name_20,Continent_name_20,fhs_name_20,gov_name_20,Capital_name_20,pnr_name_20,Topography_name_20,Climate_name_20,le_name_20,imr_name_20,pcod_name_20,GDPPC_name_20,cer_name_20,bmi_name_20,gdpg_name_20,ii_name_20,cpi_name_20,hioef_name_20,lr_name_20,Religions_name_20,Languages_name_20,Population_name_20
id_name_21,Country_name_21,Continent_name_21,fhs_name_21,gov_name_21,Capital_name_21,pnr_name_21,Topography_name_21,Climate_name_21,le_name_21,imr_name_21,pcod_name_21,GDPPC_name_21,cer_name_21,bmi_name_21,gdpg_name_21,ii_name_21,cpi_name_21,hioef_name_21,lr_name_21,Religions_name_21,Languages_name_21,Population_name_21
id_name_22,Country_name_22,Continent_name_22,fhs_name_22,gov_name_22,Capital_name_22,pnr_name_22,Topography_name_22,Climate_name_22,le_name_22,imr_name_22,pcod_name_22,GDPPC_name_22,cer_name_22,bmi_name_22,gdpg_name_22,ii_name_22,cpi_name_22,hioef_name_22,lr_name_22,Religions_name_22,Languages_name_22,Population_name_22
id_name_23,Country_name_23,Continent_name_23,fhs_name_23,gov_name_23,Capital_name_23,pnr_name_23,Topography_name_23,Climate_name_23,le_name_23,imr_name_23,pcod_name_23,GDPPC_name_23,cer_name_23,bmi_name_23,gdpg_name_23,ii_name_23,cpi_name_23,hioef_name_23,lr_name_23,Religions_name_23,Languages_name_23,Population_name_23
id_name_24,Country_name_24,Continent_name_24,fhs_name_24,gov_name_24,Capital_name_24,pnr_name_24,Topography_name_24,Climate_name_24,le_name_24,imr_name_24,pcod_name_24,GDPPC_name_24,cer_name_24,bmi_name_24,gdpg_name_24,ii_name_24,cpi_name_24,hioef_name_24,lr_name_24,Religions_name_24,Languages_name_24,Population_name_24
id_name_25,Country_name_25,Continent_name_25,fhs_name_25,gov_name_25,Capital_name_25,pnr_name_25,Topography_name_25,Climate_name_25,le_name_25,imr_name_25,pcod_name_25,GDPPC_name_25,cer_name_25,bmi_name_25,gdpg_name_25,ii_name_25,cpi_name_25,hioef_name_25,lr_name_25,Religions_name_25,Languages_name_25,Population_name_25
id_name_26,Country_name_26,Continent_name_26,fhs_name_26,gov_name_26,Capital_name_26,pnr_name_26,Topography_name_26,Climate_name_26,le_name_26,imr_name_26,pcod_name_26,GDPPC_name_26,cer_name_26,bmi_name_26,gdpg_name_26,ii_name_26,cpi_name_26,hioef_name_26,lr_name_26,Religions_name_26,Languages_name_26,Population_name_26
